window_start,window_end,seconds_interval,regime,n_wells,well_locations,barriers,n_observations
2024-01-01,2024-01-31,30,unavailable,,,,0
2024-01-01,2024-01-31,60,unavailable,,,,0
2024-01-01,2024-01-31,240,unavailable,,,,0
2024-02-01,2024-02-29,30,unavailable,,,,0
2024-02-01,2024-02-29,60,unavailable,,,,0
2024-02-01,2024-02-29,240,unavailable,,,,0
2024-03-01,2024-03-31,30,unavailable,,,,0
2024-03-01,2024-03-31,60,unavailable,,,,0
2024-03-01,2024-03-31,240,unavailable,,,,0
2024-04-01,2024-04-30,30,unavailable,,,,0
2024-04-01,2024-04-30,60,unavailable,,,,0
2024-04-01,2024-04-30,240,unavailable,,,,0
2024-05-01,2024-05-31,30,unavailable,,,,0
2024-05-01,2024-05-31,60,unavailable,,,,0
2024-05-01,2024-05-31,240,unavailable,,,,0
2024-06-01,2024-06-30,30,unavailable,,,,0
2024-06-01,2024-06-30,60,unavailable,,,,0
2024-06-01,2024-06-30,240,unavailable,,,,0
